id,date,cctv_1_image,cctv_2_image,cctv_3_image,sensor_1_value,sensor_2_value
46,2024-11-01 18:41:00,C:\images\cctv_1_20241102060900.jpg,,C:\images\cctv_3_20241102060900.jpg,,9.0
49,2024-11-01 20:54:00,C:\images\cctv_1_20241102062500.jpg,C:\images\cctv_2_20241102062500.jpg,C:\images\cctv_3_20241102062500.jpg,43677.0,4.0
50,2024-11-01 21:07:00,C:\images\cctv_1_20241102011200.jpg,C:\images\cctv_2_20241102011200.jpg,C:\images\cctv_3_20241102011200.jpg,40636.0,8.0
51,2024-11-01 21:14:00,C:\images\cctv_1_20241102132500.jpg,C:\images\cctv_2_20241102132500.jpg,C:\images\cctv_3_20241102132500.jpg,,6.0
52,2024-11-01 21:52:00,,,C:\images\cctv_3_20241102152900.jpg,,8.0
53,2024-11-01 22:11:00,C:\images\cctv_1_20241102053300.jpg,C:\images\cctv_2_20241102053300.jpg,C:\images\cctv_3_20241102053300.jpg,41804.0,10.0
54,2024-11-01 22:39:00,C:\images\cctv_1_20241102152100.jpg,,C:\images\cctv_3_20241102152100.jpg,,4.0
55,2024-11-01 22:40:00,C:\images\cctv_1_20241102141900.jpg,C:\images\cctv_2_20241102141900.jpg,C:\images\cctv_3_20241102141900.jpg,,7.0
57,2024-11-02 00:26:00,C:\images\cctv_1_20241101181200.jpg,,C:\images\cctv_3_20241101181200.jpg,,4.0
59,2024-11-02 00:48:00,C:\images\cctv_1_20241102004200.jpg,C:\images\cctv_2_20241102004200.jpg,,39266.0,5.0
60,2024-11-02 00:51:00,,C:\images\cctv_2_20241102153500.jpg,C:\images\cctv_3_20241102153500.jpg,,5.0
61,2024-11-02 01:06:00,C:\images\cctv_1_20241102010600.jpg,C:\images\cctv_2_20241102010600.jpg,C:\images\cctv_3_20241102010600.jpg,,9.0
63,2024-11-02 02:48:00,C:\images\cctv_1_20241102103700.jpg,,C:\images\cctv_3_20241102103700.jpg,31145.0,7.0
64,2024-11-02 04:02:00,C:\images\cctv_1_20241101205400.jpg,C:\images\cctv_2_20241101205400.jpg,C:\images\cctv_3_20241101205400.jpg,42637.0,8.0
65,2024-11-02 05:33:00,C:\images\cctv_1_20241102091000.jpg,,C:\images\cctv_3_20241102091000.jpg,37750.0,10.0
66,2024-11-02 05:41:00,C:\images\cctv_1_20241102164200.jpg,C:\images\cctv_2_20241102164200.jpg,,40626.0,5.0
67,2024-11-02 06:09:00,C:\images\cctv_1_20241102131500.jpg,C:\images\cctv_2_20241102131500.jpg,C:\images\cctv_3_20241102131500.jpg,,8.0
68,2024-11-02 06:25:00,C:\images\cctv_1_20241101184100.jpg,C:\images\cctv_2_20241101184100.jpg,C:\images\cctv_3_20241101184100.jpg,35402.0,5.0
69,2024-11-02 06:59:00,C:\images\cctv_1_20241102040200.jpg,C:\images\cctv_2_20241102040200.jpg,C:\images\cctv_3_20241102040200.jpg,39328.0,6.0
70,2024-11-02 07:17:00,C:\images\cctv_1_20241102100000.jpg,C:\images\cctv_2_20241102100000.jpg,C:\images\cctv_3_20241102100000.jpg,,4.0
73,2024-11-02 09:10:00,C:\images\cctv_1_20241101223900.jpg,,,31677.0,6.0
74,2024-11-02 09:16:00,C:\images\cctv_1_20241101224000.jpg,C:\images\cctv_2_20241101224000.jpg,,,10.0
75,2024-11-02 09:48:00,C:\images\cctv_1_20241102095600.jpg,C:\images\cctv_2_20241102095600.jpg,C:\images\cctv_3_20241102095600.jpg,42958.0,7.0
76,2024-11-02 09:56:00,,C:\images\cctv_2_20241102002600.jpg,,34243.0,8.0
78,2024-11-02 10:08:00,C:\images\cctv_1_20241102024800.jpg,C:\images\cctv_2_20241102024800.jpg,,31312.0,10.0
79,2024-11-02 10:37:00,C:\images\cctv_1_20241102075700.jpg,,C:\images\cctv_3_20241102075700.jpg,,4.0
81,2024-11-02 11:18:00,C:\images\cctv_1_20241102111800.jpg,,C:\images\cctv_3_20241102111800.jpg,38151.0,6.0
83,2024-11-02 13:25:00,,C:\images\cctv_2_20241102091600.jpg,,36910.0,10.0
84,2024-11-02 13:45:00,C:\images\cctv_1_20241102134500.jpg,C:\images\cctv_2_20241102134500.jpg,C:\images\cctv_3_20241102134500.jpg,34096.0,8.0
85,2024-11-02 13:47:00,C:\images\cctv_1_20241102065900.jpg,,C:\images\cctv_3_20241102065900.jpg,,10.0
86,2024-11-02 14:19:00,,C:\images\cctv_2_20241102085900.jpg,C:\images\cctv_3_20241102085900.jpg,,10.0
88,2024-11-02 15:07:00,C:\images\cctv_1_20241102142200.jpg,C:\images\cctv_2_20241102142200.jpg,C:\images\cctv_3_20241102142200.jpg,,4.0
90,2024-11-02 15:29:00,,C:\images\cctv_2_20241102094800.jpg,C:\images\cctv_3_20241102094800.jpg,,8.0
91,2024-11-02 15:35:00,,C:\images\cctv_2_20241102150700.jpg,C:\images\cctv_3_20241102150700.jpg,41159.0,4.0
92,2024-11-02 16:42:00,C:\images\cctv_1_20241102004800.jpg,C:\images\cctv_2_20241102004800.jpg,C:\images\cctv_3_20241102004800.jpg,,10.0
93,2024-11-02 17:01:00,C:\images\cctv_1_20241102235400.jpg,,C:\images\cctv_3_20241102235400.jpg,,5.0
94,2024-11-02 17:19:00,C:\images\cctv_1_20241103020100.jpg,,,35146.0,10.0
95,2024-11-02 17:28:00,C:\images\cctv_1_20241103135300.jpg,,,42787.0,5.0
96,2024-11-02 17:43:00,C:\images\cctv_1_20241102174600.jpg,C:\images\cctv_2_20241102174600.jpg,C:\images\cctv_3_20241102174600.jpg,43884.0,5.0
98,2024-11-02 18:12:00,C:\images\cctv_1_20241102211500.jpg,,,31889.0,5.0
99,2024-11-02 18:33:00,,C:\images\cctv_2_20241103025300.jpg,C:\images\cctv_3_20241103025300.jpg,36963.0,6.0
101,2024-11-02 20:04:00,,C:\images\cctv_2_20241103000700.jpg,C:\images\cctv_3_20241103000700.jpg,43660.0,9.0
102,2024-11-02 20:41:00,,C:\images\cctv_2_20241103084100.jpg,C:\images\cctv_3_20241103084100.jpg,41209.0,7.0
104,2024-11-02 21:11:00,C:\images\cctv_1_20241103125300.jpg,C:\images\cctv_2_20241103125300.jpg,,31611.0,6.0
105,2024-11-02 21:15:00,C:\images\cctv_1_20241102225000.jpg,C:\images\cctv_2_20241102225000.jpg,C:\images\cctv_3_20241102225000.jpg,38937.0,4.0
106,2024-11-02 21:20:00,C:\images\cctv_1_20241103111000.jpg,C:\images\cctv_2_20241103111000.jpg,C:\images\cctv_3_20241103111000.jpg,35009.0,9.0
111,2024-11-02 23:58:00,C:\images\cctv_1_20241102235800.jpg,C:\images\cctv_2_20241102235800.jpg,C:\images\cctv_3_20241102235800.jpg,35730.0,10.0
112,2024-11-03 00:07:00,C:\images\cctv_1_20241103085400.jpg,C:\images\cctv_2_20241103085400.jpg,C:\images\cctv_3_20241103085400.jpg,,8.0
116,2024-11-03 03:14:00,C:\images\cctv_1_20241103104800.jpg,C:\images\cctv_2_20241103104800.jpg,C:\images\cctv_3_20241103104800.jpg,37549.0,6.0
117,2024-11-03 03:55:00,,C:\images\cctv_2_20241102225600.jpg,,39672.0,5.0
118,2024-11-03 04:20:00,C:\images\cctv_1_20241102183300.jpg,,C:\images\cctv_3_20241102183300.jpg,32019.0,8.0
119,2024-11-03 04:31:00,C:\images\cctv_1_20241103085500.jpg,C:\images\cctv_2_20241103085500.jpg,C:\images\cctv_3_20241103085500.jpg,,5.0
120,2024-11-03 05:06:00,C:\images\cctv_1_20241102234300.jpg,C:\images\cctv_2_20241102234300.jpg,C:\images\cctv_3_20241102234300.jpg,44296.0,8.0
121,2024-11-03 05:18:00,,C:\images\cctv_2_20241103043100.jpg,C:\images\cctv_3_20241103043100.jpg,37905.0,4.0
122,2024-11-03 05:20:00,,C:\images\cctv_2_20241103051800.jpg,,38751.0,6.0
123,2024-11-03 08:41:00,,C:\images\cctv_2_20241102212000.jpg,C:\images\cctv_3_20241102212000.jpg,32106.0,10.0
126,2024-11-03 09:05:00,C:\images\cctv_1_20241103153500.jpg,C:\images\cctv_2_20241103153500.jpg,,,10.0
127,2024-11-03 09:09:00,C:\images\cctv_1_20241103052000.jpg,,C:\images\cctv_3_20241103052000.jpg,44045.0,8.0
128,2024-11-03 09:30:00,,C:\images\cctv_2_20241103090500.jpg,,44477.0,9.0
130,2024-11-03 10:16:00,C:\images\cctv_1_20241102174300.jpg,,C:\images\cctv_3_20241102174300.jpg,,8.0
131,2024-11-03 10:20:00,C:\images\cctv_1_20241103114400.jpg,C:\images\cctv_2_20241103114400.jpg,C:\images\cctv_3_20241103114400.jpg,,6.0
133,2024-11-03 11:10:00,C:\images\cctv_1_20241103035500.jpg,C:\images\cctv_2_20241103035500.jpg,C:\images\cctv_3_20241103035500.jpg,33799.0,10.0
134,2024-11-03 11:44:00,C:\images\cctv_1_20241103012700.jpg,C:\images\cctv_2_20241103012700.jpg,C:\images\cctv_3_20241103012700.jpg,35072.0,10.0
135,2024-11-03 11:54:00,C:\images\cctv_1_20241103093300.jpg,C:\images\cctv_2_20241103093300.jpg,C:\images\cctv_3_20241103093300.jpg,39693.0,10.0
136,2024-11-03 12:40:00,C:\images\cctv_1_20241102210700.jpg,C:\images\cctv_2_20241102210700.jpg,,40196.0,8.0
137,2024-11-03 12:53:00,,C:\images\cctv_2_20241103124000.jpg,C:\images\cctv_3_20241103124000.jpg,,9.0
138,2024-11-03 13:53:00,C:\images\cctv_1_20241102204100.jpg,,C:\images\cctv_3_20241102204100.jpg,40364.0,4.0
139,2024-11-03 13:56:00,,C:\images\cctv_2_20241102171900.jpg,C:\images\cctv_3_20241102171900.jpg,41072.0,9.0
140,2024-11-03 15:02:00,,C:\images\cctv_2_20241103093000.jpg,C:\images\cctv_3_20241103093000.jpg,42182.0,10.0
142,2024-11-03 15:35:00,C:\images\cctv_1_20241102172800.jpg,C:\images\cctv_2_20241102172800.jpg,C:\images\cctv_3_20241102172800.jpg,40120.0,5.0
145,2024-11-03 18:22:00,,C:\images\cctv_2_20241103211700.jpg,C:\images\cctv_3_20241103211700.jpg,35949.0,6.0
147,2024-11-03 18:29:00,C:\images\cctv_1_20241104122500.jpg,C:\images\cctv_2_20241104122500.jpg,C:\images\cctv_3_20241104122500.jpg,32818.0,10.0
148,2024-11-03 20:09:00,C:\images\cctv_1_20241104043100.jpg,C:\images\cctv_2_20241104043100.jpg,C:\images\cctv_3_20241104043100.jpg,39305.0,8.0
151,2024-11-03 21:46:00,,C:\images\cctv_2_20241103224300.jpg,C:\images\cctv_3_20241103224300.jpg,42791.0,7.0
153,2024-11-03 22:10:00,C:\images\cctv_1_20241104094000.jpg,C:\images\cctv_2_20241104094000.jpg,C:\images\cctv_3_20241104094000.jpg,37767.0,10.0
155,2024-11-03 22:41:00,C:\images\cctv_1_20241103233300.jpg,C:\images\cctv_2_20241103233300.jpg,C:\images\cctv_3_20241103233300.jpg,33857.0,5.0
156,2024-11-03 22:43:00,C:\images\cctv_1_20241104054400.jpg,,C:\images\cctv_3_20241104054400.jpg,41714.0,5.0
157,2024-11-03 22:58:00,,C:\images\cctv_2_20241104045000.jpg,C:\images\cctv_3_20241104045000.jpg,,7.0
158,2024-11-03 23:33:00,C:\images\cctv_1_20241104131100.jpg,C:\images\cctv_2_20241104131100.jpg,C:\images\cctv_3_20241104131100.jpg,36586.0,5.0
159,2024-11-03 23:38:00,,C:\images\cctv_2_20241104025700.jpg,C:\images\cctv_3_20241104025700.jpg,34420.0,8.0
161,2024-11-04 00:26:00,,C:\images\cctv_2_20241103225800.jpg,C:\images\cctv_3_20241103225800.jpg,42803.0,6.0
162,2024-11-04 00:32:00,C:\images\cctv_1_20241103182200.jpg,,C:\images\cctv_3_20241103182200.jpg,,6.0
163,2024-11-04 00:42:00,C:\images\cctv_1_20241104004200.jpg,C:\images\cctv_2_20241104004200.jpg,C:\images\cctv_3_20241104004200.jpg,,5.0
164,2024-11-04 00:46:00,,,C:\images\cctv_3_20241103221000.jpg,,4.0
165,2024-11-04 01:07:00,C:\images\cctv_1_20241104014800.jpg,C:\images\cctv_2_20241104014800.jpg,C:\images\cctv_3_20241104014800.jpg,38237.0,4.0
166,2024-11-04 01:14:00,C:\images\cctv_1_20241103182500.jpg,C:\images\cctv_2_20241103182500.jpg,C:\images\cctv_3_20241103182500.jpg,40972.0,5.0
167,2024-11-04 01:46:00,C:\images\cctv_1_20241104001800.jpg,C:\images\cctv_2_20241104001800.jpg,C:\images\cctv_3_20241104001800.jpg,33995.0,10.0
168,2024-11-04 01:48:00,C:\images\cctv_1_20241104011400.jpg,C:\images\cctv_2_20241104011400.jpg,C:\images\cctv_3_20241104011400.jpg,34862.0,9.0
169,2024-11-04 02:57:00,C:\images\cctv_1_20241104105000.jpg,C:\images\cctv_2_20241104105000.jpg,C:\images\cctv_3_20241104105000.jpg,32211.0,7.0
171,2024-11-04 04:31:00,,C:\images\cctv_2_20241104002600.jpg,C:\images\cctv_3_20241104002600.jpg,43848.0,5.0
172,2024-11-04 04:50:00,C:\images\cctv_1_20241104060300.jpg,C:\images\cctv_2_20241104060300.jpg,C:\images\cctv_3_20241104060300.jpg,38829.0,8.0
175,2024-11-04 06:42:00,C:\images\cctv_1_20241103182900.jpg,C:\images\cctv_2_20241103182900.jpg,C:\images\cctv_3_20241103182900.jpg,35476.0,5.0
176,2024-11-04 09:36:00,,C:\images\cctv_2_20241104141700.jpg,C:\images\cctv_3_20241104141700.jpg,,9.0
177,2024-11-04 09:40:00,C:\images\cctv_1_20241103221400.jpg,,C:\images\cctv_3_20241103221400.jpg,30680.0,9.0
180,2024-11-04 10:50:00,C:\images\cctv_1_20241104135400.jpg,,C:\images\cctv_3_20241104135400.jpg,35553.0,6.0
183,2024-11-04 12:25:00,C:\images\cctv_1_20241104114100.jpg,C:\images\cctv_2_20241104114100.jpg,C:\images\cctv_3_20241104114100.jpg,44259.0,4.0
184,2024-11-04 13:04:00,,C:\images\cctv_2_20241104014600.jpg,C:\images\cctv_3_20241104014600.jpg,36204.0,8.0
185,2024-11-04 13:11:00,C:\images\cctv_1_20241104132800.jpg,,C:\images\cctv_3_20241104132800.jpg,33691.0,8.0
186,2024-11-04 13:28:00,C:\images\cctv_1_20241104035300.jpg,C:\images\cctv_2_20241104035300.jpg,C:\images\cctv_3_20241104035300.jpg,43487.0,6.0
187,2024-11-04 13:54:00,C:\images\cctv_1_20241103172400.jpg,C:\images\cctv_2_20241103172400.jpg,C:\images\cctv_3_20241103172400.jpg,32472.0,7.0
188,2024-11-04 14:17:00,C:\images\cctv_1_20241104104400.jpg,C:\images\cctv_2_20241104104400.jpg,C:\images\cctv_3_20241104104400.jpg,,6.0
190,2024-11-04 15:01:00,C:\images\cctv_1_20241103200900.jpg,,C:\images\cctv_3_20241103200900.jpg,,10.0
194,2024-11-04 17:18:00,C:\images\cctv_1_20241105071100.jpg,C:\images\cctv_2_20241105071100.jpg,C:\images\cctv_3_20241105071100.jpg,31803.0,5.0
195,2024-11-04 17:27:00,C:\images\cctv_1_20241105020300.jpg,C:\images\cctv_2_20241105020300.jpg,C:\images\cctv_3_20241105020300.jpg,31805.0,10.0
196,2024-11-04 17:30:00,C:\images\cctv_1_20241104201300.jpg,C:\images\cctv_2_20241104201300.jpg,C:\images\cctv_3_20241104201300.jpg,36557.0,10.0
197,2024-11-04 18:13:00,C:\images\cctv_1_20241104201500.jpg,C:\images\cctv_2_20241104201500.jpg,,,8.0
198,2024-11-04 18:50:00,C:\images\cctv_1_20241104173000.jpg,C:\images\cctv_2_20241104173000.jpg,C:\images\cctv_3_20241104173000.jpg,,5.0
199,2024-11-04 19:01:00,C:\images\cctv_1_20241105032700.jpg,C:\images\cctv_2_20241105032700.jpg,,32031.0,6.0
200,2024-11-04 19:25:00,C:\images\cctv_1_20241105143700.jpg,C:\images\cctv_2_20241105143700.jpg,C:\images\cctv_3_20241105143700.jpg,,8.0
201,2024-11-04 19:39:00,,C:\images\cctv_2_20241105160100.jpg,C:\images\cctv_3_20241105160100.jpg,30885.0,10.0
202,2024-11-04 20:13:00,C:\images\cctv_1_20241105034800.jpg,C:\images\cctv_2_20241105034800.jpg,C:\images\cctv_3_20241105034800.jpg,,5.0
203,2024-11-04 20:15:00,,,C:\images\cctv_3_20241104224100.jpg,34511.0,7.0
204,2024-11-04 21:23:00,C:\images\cctv_1_20241105070500.jpg,C:\images\cctv_2_20241105070500.jpg,C:\images\cctv_3_20241105070500.jpg,,9.0
205,2024-11-04 22:41:00,C:\images\cctv_1_20241105025100.jpg,C:\images\cctv_2_20241105025100.jpg,C:\images\cctv_3_20241105025100.jpg,,9.0
206,2024-11-04 23:08:00,C:\images\cctv_1_20241105152600.jpg,,C:\images\cctv_3_20241105152600.jpg,38660.0,6.0
207,2024-11-04 23:17:00,C:\images\cctv_1_20241105133700.jpg,C:\images\cctv_2_20241105133700.jpg,,32692.0,4.0
208,2024-11-04 23:28:00,C:\images\cctv_1_20241105060000.jpg,,C:\images\cctv_3_20241105060000.jpg,36219.0,6.0
211,2024-11-05 02:03:00,C:\images\cctv_1_20241105163800.jpg,C:\images\cctv_2_20241105163800.jpg,C:\images\cctv_3_20241105163800.jpg,34360.0,4.0
212,2024-11-05 02:17:00,,C:\images\cctv_2_20241105052000.jpg,C:\images\cctv_3_20241105052000.jpg,34936.0,8.0
214,2024-11-05 02:51:00,,C:\images\cctv_2_20241105113900.jpg,,42469.0,6.0
215,2024-11-05 02:51:00,C:\images\cctv_1_20241104185000.jpg,C:\images\cctv_2_20241104185000.jpg,,43398.0,7.0
216,2024-11-05 03:08:00,C:\images\cctv_1_20241105020200.jpg,C:\images\cctv_2_20241105020200.jpg,C:\images\cctv_3_20241105020200.jpg,31893.0,8.0
217,2024-11-05 03:27:00,,C:\images\cctv_2_20241105021700.jpg,,35078.0,5.0
220,2024-11-05 05:20:00,,C:\images\cctv_2_20241105051100.jpg,C:\images\cctv_3_20241105051100.jpg,,5.0
222,2024-11-05 06:00:00,,C:\images\cctv_2_20241105030800.jpg,C:\images\cctv_3_20241105030800.jpg,37796.0,6.0
223,2024-11-05 06:44:00,C:\images\cctv_1_20241104171800.jpg,,C:\images\cctv_3_20241104171800.jpg,,8.0
225,2024-11-05 07:11:00,C:\images\cctv_1_20241105120400.jpg,C:\images\cctv_2_20241105120400.jpg,C:\images\cctv_3_20241105120400.jpg,38854.0,8.0
226,2024-11-05 08:43:00,C:\images\cctv_1_20241105161500.jpg,C:\images\cctv_2_20241105161500.jpg,,38218.0,10.0
229,2024-11-05 12:26:00,C:\images\cctv_1_20241105064400.jpg,C:\images\cctv_2_20241105064400.jpg,C:\images\cctv_3_20241105064400.jpg,31908.0,8.0
230,2024-11-05 12:44:00,C:\images\cctv_1_20241105055900.jpg,C:\images\cctv_2_20241105055900.jpg,C:\images\cctv_3_20241105055900.jpg,38980.0,7.0
232,2024-11-05 14:36:00,C:\images\cctv_1_20241104172700.jpg,C:\images\cctv_2_20241104172700.jpg,,30155.0,4.0
233,2024-11-05 14:37:00,,C:\images\cctv_2_20241105124400.jpg,C:\images\cctv_3_20241105124400.jpg,,4.0
234,2024-11-05 15:08:00,C:\images\cctv_1_20241104171500.jpg,,C:\images\cctv_3_20241104171500.jpg,42344.0,8.0
235,2024-11-05 15:14:00,C:\images\cctv_1_20241105084300.jpg,C:\images\cctv_2_20241105084300.jpg,C:\images\cctv_3_20241105084300.jpg,31743.0,4.0
237,2024-11-05 15:29:00,C:\images\cctv_1_20241104181300.jpg,C:\images\cctv_2_20241104181300.jpg,,,6.0
238,2024-11-05 16:01:00,C:\images\cctv_1_20241105143600.jpg,,C:\images\cctv_3_20241105143600.jpg,,8.0
239,2024-11-05 16:15:00,,C:\images\cctv_2_20241104235100.jpg,C:\images\cctv_3_20241104235100.jpg,39843.0,9.0
240,2024-11-05 16:38:00,C:\images\cctv_1_20241105165800.jpg,C:\images\cctv_2_20241105165800.jpg,C:\images\cctv_3_20241105165800.jpg,,7.0
241,2024-11-05 16:52:00,,,C:\images\cctv_3_20241104193900.jpg,39783.0,6.0
242,2024-11-05 16:58:00,C:\images\cctv_1_20241104190100.jpg,C:\images\cctv_2_20241104190100.jpg,C:\images\cctv_3_20241104190100.jpg,42994.0,6.0
243,2024-11-05 17:01:00,C:\images\cctv_1_20241105182000.jpg,C:\images\cctv_2_20241105182000.jpg,C:\images\cctv_3_20241105182000.jpg,,8.0
244,2024-11-05 18:20:00,,C:\images\cctv_2_20241106044900.jpg,C:\images\cctv_3_20241106044900.jpg,31076.0,7.0
245,2024-11-05 18:35:00,C:\images\cctv_1_20241105200200.jpg,,C:\images\cctv_3_20241105200200.jpg,36303.0,9.0
246,2024-11-05 18:37:00,C:\images\cctv_1_20241105225300.jpg,,,42851.0,4.0
247,2024-11-05 19:53:00,C:\images\cctv_1_20241106075300.jpg,C:\images\cctv_2_20241106075300.jpg,C:\images\cctv_3_20241106075300.jpg,32303.0,5.0
248,2024-11-05 20:02:00,C:\images\cctv_1_20241106025100.jpg,,C:\images\cctv_3_20241106025100.jpg,32842.0,7.0
250,2024-11-05 20:40:00,C:\images\cctv_1_20241106112600.jpg,,C:\images\cctv_3_20241106112600.jpg,,8.0
251,2024-11-05 20:48:00,C:\images\cctv_1_20241106113400.jpg,C:\images\cctv_2_20241106113400.jpg,C:\images\cctv_3_20241106113400.jpg,32925.0,6.0
253,2024-11-05 21:24:00,C:\images\cctv_1_20241106082400.jpg,C:\images\cctv_2_20241106082400.jpg,C:\images\cctv_3_20241106082400.jpg,36907.0,7.0
254,2024-11-05 22:21:00,,C:\images\cctv_2_20241105183500.jpg,C:\images\cctv_3_20241105183500.jpg,37649.0,9.0
256,2024-11-05 22:44:00,C:\images\cctv_1_20241105232500.jpg,C:\images\cctv_2_20241105232500.jpg,C:\images\cctv_3_20241105232500.jpg,,7.0
258,2024-11-05 22:53:00,C:\images\cctv_1_20241106012100.jpg,C:\images\cctv_2_20241106012100.jpg,C:\images\cctv_3_20241106012100.jpg,43100.0,8.0
259,2024-11-05 22:55:00,,C:\images\cctv_2_20241106045600.jpg,,42635.0,4.0
260,2024-11-05 23:13:00,C:\images\cctv_1_20241106000500.jpg,C:\images\cctv_2_20241106000500.jpg,C:\images\cctv_3_20241106000500.jpg,,6.0
261,2024-11-05 23:16:00,C:\images\cctv_1_20241106021600.jpg,C:\images\cctv_2_20241106021600.jpg,C:\images\cctv_3_20241106021600.jpg,33627.0,7.0
263,2024-11-06 00:05:00,C:\images\cctv_1_20241106152900.jpg,C:\images\cctv_2_20241106152900.jpg,C:\images\cctv_3_20241106152900.jpg,34426.0,7.0
264,2024-11-06 01:21:00,C:\images\cctv_1_20241105211500.jpg,,C:\images\cctv_3_20241105211500.jpg,40187.0,4.0
265,2024-11-06 01:31:00,C:\images\cctv_1_20241105212400.jpg,C:\images\cctv_2_20241105212400.jpg,C:\images\cctv_3_20241105212400.jpg,36890.0,10.0
